id,playlist,label
64625,7050074027,3
541968,2670054457,1
17572248,5083229056,8
1948467136,8480602669,8
2042630564,8862239322,10
1446173550,7113424473,5
1931835639,6772095765,11
1956151856,8724363069,8
1448422038,2184786587,1
2088086182,7837735446,6
2081092,647135926,8
298110,6585002816,0
757773,3109647052,4
1991801101,7529828708,5
1352045703,2960671071,5
2087079465,8051750163,8
1311397390,2920647537,11
1974593242,8029063490,5
463840738,533494075,2
1960300439,8544049158,11
1427912360,2460837730,10
1357816082,4904744539,1
1392784153,8830616922,2
29017175,8887216052,9
1464218457,7359306721,2
29330942,12317300,1
1491825646,2290267281,10
2060775002,6881823325,11
434022943,2807816709,10
1452762613,5241383405,4
1348546009,8411530964,10
1349593379,2656232371,10
1925203,8846554566,6
1920554532,8451580843,2
2090266105,8813072733,0
532769381,2078278524,2
2098387796,712947899,10
510933567,8291940387,4
1313824555,6890699086,2
1890608887,8835154201,5
5271426,2564496424,1
1846528590,3116903678,11
1501450522,6792140532,4
2105582547,6690281281,8
1463449554,2246850309,1
1903373193,6596834366,8
1495077170,6606027462,4
2103567038,8478802883,8
1407982940,6840490074,7
1830355798,7321308129,6
515337,2850814054,7
1413142894,7113376341,4
16421797,5352598318,11
1901372570,2468033467,11
1488369208,7423895595,6
2773431,8412085923,9
1478130362,7492238936,3
64111,8745551760,3
1967369519,7996859268,10
543185,3099890643,10
1821252112,778725816,10
33495987,2072953959,10
2042932972,7508631356,9
41666027,910636214,7
28481858,7179792394,0
1940026779,5003045500,5
1472703677,5474226091,9
35023729,88835828,10
1437636101,7751858827,3
512983678,6695313870,7
522943592,4961186307,3
545868,703003861,2
624966,984196486,6
1954685565,8438276944,0
1819065561,8758918201,5
421807900,2930008715,1
28308662,3023068005,1
1435052475,3194597807,10
407450223,8459621291,5
469249712,996778989,10
38673932,410875325,6
518894488,2224319101,6
2007402321,3091075906,6
545590291,2354796810,1
1380328551,8411916500,5
1840444008,965283465,4
2095861284,3071672061,5
1893330487,8170169684,9
2055533297,2442191549,9
1816681667,2105232528,11
1302415375,803821207,1
28855550,7786912000,0
27570832,8874204841,0
2019270357,8732919799,3
464944679,615586947,6
1335350269,7383958889,0
477417503,2313859392,1
1834023218,7026432007,0
1852895366,7252260707,5
1386259535,3079323149,6
625671,419248794,10
2103543292,709541062,9
31649120,689504286,5
1821062772,8241526595,7
1394492969,8849499311,2
5262719,8610953283,4
1948638667,7660003187,1
2061472089,494614304,11
1434449638,2784097997,11
1951230801,6686195559,10
189151,7798381000,8
2003622181,7026432007,0
1446520313,3124275535,6
2098539876,3071672061,5
1922602401,7064965594,7
1921053172,2729312363,8
35032655,3236637334,5
2049728210,8867595727,5
1890374759,2300271910,1
1911556553,8466000442,9
1980844250,55146514,5
1401905446,8438624285,5
33495597,6997732467,1
1357713479,7331571882,5
530995903,473445872,4
2048187599,7697383531,2
566443169,8844435373,9
1428259272,2055619600,2
493042353,3219550044,11
1466032843,6755021478,1
28308561,448444610,11
